datetime,Latitude,Longitude,AOD
2022-07-23,-6.15,106.9,0.49839997
2022-07-24,-6.15,106.9,0.52099997
2022-07-25,-6.15,106.9,0.71279997
2022-07-26,-6.15,106.9,0.51879996
2022-07-27,-6.15,106.9,0.4698
2022-07-28,-6.15,106.9,0.41419998
2022-07-29,-6.15,106.9,0.345
2022-07-30,-6.15,106.9,0.603
2022-07-31,-6.15,106.9,0.47919998
2022-08-01,-6.15,106.9,0.2374
2022-08-02,-6.15,106.9,0.76839995
2022-08-04,-6.15,106.9,0.38979998
2022-08-05,-6.15,106.9,0.6242
2022-08-06,-6.15,106.9,0.6324
2022-08-07,-6.15,106.9,0.45499998
2022-08-08,-6.15,106.9,0.3742
2022-08-09,-6.15,106.9,0.369
2022-08-10,-6.15,106.9,0.42999998
2022-08-11,-6.15,106.9,0.611
2022-08-12,-6.15,106.9,0.49839997
2022-08-13,-6.15,106.9,0.7096
2022-08-14,-6.15,106.9,0.28959998
2022-08-15,-6.15,106.9,0.50699997
2022-08-17,-6.15,106.9,0.5614
2022-08-18,-6.15,106.9,0.2498
2022-08-19,-6.15,106.9,0.1952
2022-08-20,-6.15,106.9,0.42999998
2022-08-21,-6.15,106.9,0.71379995
2022-08-22,-6.15,106.9,0.6532
2022-08-23,-6.15,106.9,0.7592
2022-08-24,-6.15,106.9,0.5772
2022-08-25,-6.15,106.9,0.5592
2022-08-29,-6.15,106.9,1.1918
2022-08-30,-6.15,106.9,0.7184
2022-08-31,-6.15,106.9,0.8516
2022-09-01,-6.15,106.9,0.2922
2022-09-02,-6.15,106.9,0.22019999
2022-09-03,-6.15,106.9,0.7424
2022-09-04,-6.15,106.9,0.9594
2022-09-05,-6.15,106.9,0.7698
2022-09-06,-6.15,106.9,0.7578
2022-09-07,-6.15,106.9,0.5772
2022-09-09,-6.15,106.9,0.884
2022-09-11,-6.15,106.9,0.473
2022-09-12,-6.15,106.9,0.6088
2022-09-13,-6.15,106.9,0.64599997
2022-09-14,-6.15,106.9,0.4326
2022-09-15,-6.15,106.9,0.2478
